Region,Sales,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Product ID,Category,Sub-Category,Product Name
West,3.15,CA-2016-160941,Standard Class,DK-12835,Damala Kotsonis,Corporate,United States,Roseville,California,OFF-LA-10003766,Office Supplies,Labels,Self-Adhesive Removable Labels
West,3.15,CA-2016-166163,Second Class,CY-12745,Craig Yedwab,Corporate,United States,Oakland,California,OFF-LA-10000452,Office Supplies,Labels,Avery 488
West,3.168,CA-2015-153416,Standard Class,TS-21340,Toby Swindell,Consumer,United States,Los Angeles,California,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages
West,3.1680000000000006,CA-2017-130141,Second Class,HA-14905,Helen Abelman,Consumer,United States,Fort Collins,Colorado,OFF-BI-10000831,Office Supplies,Binders,Storex Flexible Poly Binders with Double Pockets
West,3.3040000000000003,CA-2015-163895,Standard Class,NS-18640,Noel Staavos,Corporate,United States,Boise,Idaho,OFF-BI-10004970,Office Supplies,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1"""
West,3.36,CA-2014-141838,Second Class,DK-12835,Damala Kotsonis,Corporate,United States,San Francisco,California,OFF-AR-10004272,Office Supplies,Art,Newell 308
West,3.36,CA-2017-104080,Standard Class,AH-10210,Alan Hwang,Consumer,United States,Anaheim,California,OFF-AR-10001972,Office Supplies,Art,Newell 323
West,3.366000000000001,CA-2015-149384,Same Day,EH-13945,Eric Hoffmann,Consumer,United States,Tempe,Arizona,OFF-BI-10003196,Office Supplies,Binders,Accohide Poly Flexible Ring Binders
West,3.38,CA-2014-157623,Standard Class,DK-13225,Dean Katz,Corporate,United States,Huntington Beach,California,OFF-AR-10003723,Office Supplies,Art,Avery Hi-Liter Fluorescent Desk Style Markers
West,3.3920000000000003,CA-2014-163419,Second Class,TZ-21580,Tracy Zic,Consumer,United States,Louisville,Colorado,OFF-AR-10000034,Office Supplies,Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack"
West,3.408,CA-2015-107741,First Class,FC-14335,Fred Chung,Corporate,United States,Pueblo,Colorado,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush"
West,3.48,CA-2014-106264,Standard Class,CK-12595,Clytie Kelty,Consumer,United States,San Diego,California,FUR-FU-10001852,Furniture,Furnishings,"Eldon Regeneration Recycled Desk Accessories, Smoke"
West,3.52,CA-2017-113530,Second Class,BC-11125,Becky Castell,Home Office,United States,San Francisco,California,OFF-AR-10001315,Office Supplies,Art,Newell 310
West,3.52,CA-2017-118724,Second Class,AR-10825,Anthony Rawles,Corporate,United States,Concord,California,OFF-AR-10003469,Office Supplies,Art,Nontoxic Chalk
West,3.5920000000000005,CA-2015-142692,Standard Class,AG-10495,Andrew Gjertsen,Corporate,United States,Seattle,Washington,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders
West,3.62,CA-2016-105291,Standard Class,SP-20920,Susan Pistek,Consumer,United States,San Luis Obispo,California,OFF-FA-10003059,Office Supplies,Fasteners,Assorted Color Push Pins
West,3.64,CA-2017-160395,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,Reno,Nevada,OFF-AR-10003759,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack"
West,3.75,US-2017-146416,Second Class,JE-16165,Justin Ellison,Corporate,United States,Woodland,California,OFF-LA-10003714,Office Supplies,Labels,Avery 510
West,3.8560000000000003,CA-2017-162880,Standard Class,GD-14590,Giulietta Dortch,Corporate,United States,Everett,Washington,OFF-BI-10003314,Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders
West,3.89,CA-2017-147452,First Class,CS-11845,Cari Sayre,Corporate,United States,Seattle,Washington,OFF-AP-10001626,Office Supplies,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags"
West,3.912,CA-2017-145772,Standard Class,SS-20140,Saphhira Shifley,Corporate,United States,Los Angeles,California,OFF-BI-10002049,Office Supplies,Binders,UniKeep View Case Binders
West,3.96,CA-2015-130736,First Class,JF-15490,Jeremy Farry,Consumer,United States,Seattle,Washington,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack"
West,3.96,CA-2016-130029,First Class,GT-14755,Guy Thornton,Consumer,United States,Los Angeles,California,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box"
West,3.9840000000000004,CA-2016-138933,First Class,JL-15130,Jack Lebron,Consumer,United States,Riverside,California,OFF-BI-10003355,Office Supplies,Binders,Cardinal Holdit Business Card Pockets
West,4.02,CA-2014-168592,Standard Class,DP-13390,Dennis Pardue,Home Office,United States,San Francisco,California,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps
West,4.02,CA-2016-145583,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps
West,4.08,CA-2016-106656,First Class,DV-13045,Darrin Van Huff,Corporate,United States,San Diego,California,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
West,4.13,CA-2014-156594,Second Class,MC-17845,Michael Chen,Consumer,United States,Los Angeles,California,OFF-AR-10004269,Office Supplies,Art,Newell 31
West,4.158,CA-2016-159023,First Class,NW-18400,Natalie Webber,Consumer,United States,Portland,Oregon,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages
West,4.158,CA-2017-158120,Standard Class,KH-16330,Katharine Harms,Corporate,United States,Hillsboro,Oregon,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages
West,4.16,CA-2015-121188,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Los Angeles,California,FUR-FU-10003981,Furniture,Furnishings,Eldon Wave Desk Accessories
West,4.17,CA-2017-115931,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Carlsbad,New Mexico,OFF-AR-10000369,Office Supplies,Art,Design Ebony Sketching Pencil
West,4.176,CA-2016-119018,Standard Class,CW-11905,Carl Weiss,Home Office,United States,Los Angeles,California,OFF-BI-10000494,Office Supplies,Binders,Acco Economy Flexible Poly Round Ring Binder
West,4.18,CA-2016-149461,Standard Class,AS-10135,Adrian Shami,Home Office,United States,Auburn,Washington,FUR-FU-10004270,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy"
West,4.2,CA-2016-135776,Standard Class,EH-13765,Edward Hooks,Corporate,United States,Seattle,Washington,OFF-AR-10001231,Office Supplies,Art,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2"
West,4.224,CA-2014-124737,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Denver,Colorado,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection
West,4.224,CA-2015-104346,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Colorado Springs,Colorado,OFF-AR-10001545,Office Supplies,Art,Newell 326
West,4.26,CA-2017-135167,Standard Class,SC-20800,Stuart Calhoun,Consumer,United States,Los Angeles,California,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush"
West,4.272,CA-2014-159814,Standard Class,LP-17080,Liz Pelletier,Consumer,United States,Tucson,Arizona,FUR-FU-10001731,Furniture,Furnishings,Acrylic Self-Standing Desk Frames
West,4.28,CA-2015-144267,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,OFF-PA-10003657,Office Supplies,Paper,Xerox 1927
West,4.28,CA-2017-122798,Standard Class,SV-20935,Susan Vittorini,Consumer,United States,Albuquerque,New Mexico,OFF-PA-10004239,Office Supplies,Paper,Xerox 1953
West,4.304,CA-2015-144099,Same Day,PO-19195,Phillina Ober,Home Office,United States,San Francisco,California,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
West,4.32,CA-2014-141110,Standard Class,LS-17200,Luke Schmidt,Corporate,United States,Fresno,California,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters
West,4.36,CA-2016-151372,First Class,JH-15985,Joseph Holt,Consumer,United States,Redondo Beach,California,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins
West,4.368,CA-2016-134348,Standard Class,MS-17710,Maurice Satty,Consumer,United States,Mesa,Arizona,OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders
West,4.401,CA-2015-105312,First Class,MT-17815,Meg Tillman,Consumer,United States,Scottsdale,Arizona,OFF-BI-10002049,Office Supplies,Binders,UniKeep View Case Binders
West,4.4479999999999995,CA-2017-121048,Standard Class,TC-21295,Toby Carlisle,Consumer,United States,Westminster,California,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder
West,4.464,CA-2014-161249,Standard Class,RD-19720,Roger Demir,Consumer,United States,Phoenix,Arizona,OFF-FA-10004838,Office Supplies,Fasteners,"Super Bands, 12/Pack"
West,4.5120000000000005,CA-2015-106978,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Aurora,Colorado,OFF-FA-10003021,Office Supplies,Fasteners,Staples
West,4.536000000000001,CA-2015-122287,Standard Class,SN-20560,Skye Norling,Home Office,United States,Peoria,Arizona,OFF-BI-10004656,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets
West,4.544,CA-2016-138968,First Class,FC-14335,Fred Chung,Corporate,United States,San Francisco,California,OFF-BI-10003529,Office Supplies,Binders,Avery Round Ring Poly Binders
West,4.672,CA-2014-108189,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,Arizona,OFF-FA-10000735,Office Supplies,Fasteners,Staples
West,4.71,US-2014-132745,Standard Class,NF-18475,Neil Französisch,Home Office,United States,Reno,Nevada,OFF-FA-10000254,Office Supplies,Fasteners,Sterling Rubber Bands by Alliance
West,4.73,CA-2016-103163,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Bakersfield,California,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
West,4.752000000000001,CA-2015-137946,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,OFF-BI-10001922,Office Supplies,Binders,Storex Dura Pro Binders
West,4.752000000000001,CA-2017-102414,Second Class,JA-15970,Joseph Airdo,Consumer,United States,Phoenix,Arizona,OFF-BI-10004465,Office Supplies,Binders,Avery Durable Slant Ring Binders
West,4.784000000000001,CA-2016-103163,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Bakersfield,California,OFF-BI-10003305,Office Supplies,Binders,Avery Hanging File Binders
West,4.896000000000001,US-2015-165743,Second Class,MM-18055,Michelle Moray,Consumer,United States,Aurora,Colorado,OFF-BI-10001982,Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels
West,4.938000000000001,CA-2017-161893,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Tucson,Arizona,OFF-BI-10004506,Office Supplies,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock
West,4.95,US-2017-131849,Standard Class,GH-14410,Gary Hansen,Home Office,United States,San Francisco,California,FUR-FU-10004164,Furniture,Furnishings,"Eldon 300 Class Desk Accessories, Black"
West,4.96,CA-2015-128167,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Layton,Utah,OFF-FA-10000490,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black"
West,4.96,CA-2017-121048,Standard Class,TC-21295,Toby Carlisle,Consumer,United States,Westminster,California,OFF-FA-10000490,Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black"
West,4.98,CA-2015-162544,First Class,SG-20080,Sandra Glassco,Consumer,United States,Seattle,Washington,OFF-PA-10004948,Office Supplies,Paper,Xerox 190
West,4.98,US-2016-125402,Standard Class,DL-12865,Dan Lawera,Consumer,United States,Long Beach,California,OFF-LA-10001771,Office Supplies,Labels,Avery 513
West,5,CA-2015-117611,Second Class,MZ-17335,Maria Zettner,Home Office,United States,San Diego,California,OFF-FA-10002280,Office Supplies,Fasteners,Advantus Plastic Paper Clips
West,5.022,CA-2016-140417,Standard Class,KE-16420,Katrina Edelman,Corporate,United States,Tigard,Oregon,OFF-BI-10004828,Office Supplies,Binders,GBC Poly Designer Binding Covers
West,5.04,CA-2015-123568,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,West Jordan,Utah,OFF-FA-10002701,Office Supplies,Fasteners,Alliance Rubber Bands
West,5.04,CA-2015-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,OFF-AR-10004272,Office Supplies,Art,Newell 308
West,5.04,US-2015-128090,Standard Class,JM-15865,John Murray,Consumer,United States,Phoenix,Arizona,OFF-LA-10000452,Office Supplies,Labels,Avery 488
West,5.104,CA-2015-113040,Standard Class,CC-12100,Chad Cunningham,Home Office,United States,Los Angeles,California,OFF-BI-10001249,Office Supplies,Binders,Avery Heavy-Duty EZD View Binder with Locking Rings
West,5.16,CA-2016-152534,Second Class,DP-13105,Dave Poirier,Corporate,United States,Salinas,California,OFF-AR-10002335,Office Supplies,Art,DIXON Oriole Pencils
West,5.16,CA-2017-101665,Standard Class,TZ-21580,Tracy Zic,Consumer,United States,San Francisco,California,OFF-AR-10002335,Office Supplies,Art,DIXON Oriole Pencils
West,5.184000000000001,CA-2016-158694,Second Class,AI-10855,Arianne Irving,Consumer,United States,Los Angeles,California,OFF-BI-10004656,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets
West,5.184000000000001,CA-2017-167094,First Class,DK-12835,Damala Kotsonis,Corporate,United States,Springfield,Oregon,OFF-PA-10003953,Office Supplies,Paper,Xerox 218
West,5.214,CA-2014-124079,Standard Class,RF-19345,Randy Ferguson,Corporate,United States,Phoenix,Arizona,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl"
West,5.214,CA-2016-134936,Standard Class,ES-14080,Erin Smith,Corporate,United States,Tucson,Arizona,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl"
West,5.22,CA-2014-160066,Standard Class,AH-10075,Adam Hart,Corporate,United States,Huntington Beach,California,OFF-LA-10001045,Office Supplies,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal
West,5.248,CA-2014-131947,Standard Class,JA-15970,Joseph Airdo,Consumer,United States,Springfield,Oregon,OFF-AR-10001473,Office Supplies,Art,Newell 313
West,5.248,CA-2015-109939,Standard Class,AA-10375,Allen Armold,Consumer,United States,Salem,Oregon,OFF-AR-10000127,Office Supplies,Art,Newell 321
West,5.28,CA-2015-111507,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Bellevue,Washington,OFF-AR-10001315,Office Supplies,Art,Newell 310
West,5.28,CA-2015-155334,First Class,HA-14920,Helen Andreada,Consumer,United States,San Francisco,California,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection
West,5.28,CA-2017-155460,First Class,RW-19630,Rob Williams,Corporate,United States,Seattle,Washington,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
West,5.344,CA-2017-133648,Standard Class,ML-17755,Max Ludwig,Home Office,United States,Springfield,Oregon,OFF-AR-10002257,Office Supplies,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear"
West,5.43,CA-2015-139164,Standard Class,CS-12355,Christine Sundaresam,Consumer,United States,Long Beach,California,OFF-FA-10003059,Office Supplies,Fasteners,Assorted Color Push Pins
West,5.46,US-2016-115819,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,OFF-AR-10000823,Office Supplies,Art,Newell 307
West,5.56,CA-2014-113271,Standard Class,DS-13030,Darrin Sayre,Home Office,United States,San Francisco,California,OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set
West,5.56,CA-2015-155306,Standard Class,GA-14515,George Ashbrook,Consumer,United States,San Francisco,California,OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set
West,5.56,CA-2017-103380,Standard Class,BF-11005,Barry Franz,Home Office,United States,Pasadena,California,OFF-AR-10003856,Office Supplies,Art,Newell 344
West,5.56,CA-2017-126067,Standard Class,KN-16705,Kristina Nunn,Home Office,United States,Seattle,Washington,OFF-AR-10003856,Office Supplies,Art,Newell 344
West,5.5600000000000005,CA-2017-141929,Standard Class,RA-19285,Ralph Arnett,Consumer,United States,Los Angeles,California,TEC-PH-10002185,Technology,Phones,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3
West,5.58,CA-2017-113530,Second Class,BC-11125,Becky Castell,Home Office,United States,San Francisco,California,OFF-AR-10000122,Office Supplies,Art,Newell 314
West,5.58,US-2017-163790,Second Class,NL-18310,Nancy Lomonaco,Home Office,United States,Danville,California,OFF-FA-10004838,Office Supplies,Fasteners,"Super Bands, 12/Pack"
West,5.67,CA-2014-159849,Same Day,JK-15640,Jim Kriz,Home Office,United States,San Francisco,California,OFF-FA-10000053,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere
West,5.68,CA-2017-100013,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Los Angeles,California,OFF-AR-10001022,Office Supplies,Art,SANFORD Liquid Accent Tank-Style Highlighters
West,5.682000000000001,US-2017-109484,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder
West,5.699999999999999,CA-2014-142769,Same Day,RP-19390,Resi Pölking,Consumer,United States,Seattle,Washington,OFF-FA-10000840,Office Supplies,Fasteners,OIC Thumb-Tacks
West,5.728000000000001,US-2016-102239,First Class,LW-16990,Lindsay Williams,Corporate,United States,Henderson,Nevada,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets
West,5.76,CA-2015-127502,Standard Class,MT-17815,Meg Tillman,Consumer,United States,San Francisco,California,OFF-LA-10001613,Office Supplies,Labels,Avery File Folder Labels
West,5.76,CA-2015-139290,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Rancho Cucamonga,California,OFF-LA-10004008,Office Supplies,Labels,Avery 507
West,5.76,CA-2016-140256,Standard Class,PW-19030,Pauline Webber,Corporate,United States,Los Angeles,California,OFF-AR-10002255,Office Supplies,Art,Newell 346
West,5.76,CA-2017-158736,Standard Class,TT-21460,Tonja Turnell,Home Office,United States,San Francisco,California,OFF-AR-10002578,Office Supplies,Art,Newell 335
West,5.76,CA-2017-169264,Second Class,NP-18700,Nora Preis,Consumer,United States,San Francisco,California,OFF-LA-10001613,Office Supplies,Labels,Avery File Folder Labels
West,5.76,US-2016-125402,Standard Class,DL-12865,Dan Lawera,Consumer,United States,Long Beach,California,OFF-AR-10002255,Office Supplies,Art,Newell 346
West,5.78,CA-2017-147942,Standard Class,MS-17365,Maribeth Schnelling,Consumer,United States,San Francisco,California,OFF-LA-10003663,Office Supplies,Labels,Avery 498
West,5.78,US-2014-154879,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Los Angeles,California,OFF-LA-10004425,Office Supplies,Labels,Staple-on labels
West,5.84,CA-2015-151841,Standard Class,TC-21475,Tony Chapman,Home Office,United States,Aurora,Colorado,OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors
West,5.84,US-2016-115819,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,OFF-BI-10000050,Office Supplies,Binders,"Angle-D Binders with Locking Rings, Label Holders"
West,5.872,CA-2016-165330,Same Day,WB-21850,William Brown,Consumer,United States,Anaheim,California,OFF-BI-10002897,Office Supplies,Binders,"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2"""
West,5.88,CA-2014-107818,Standard Class,MC-17275,Marc Crier,Consumer,United States,Pasco,Washington,OFF-AR-10003045,Office Supplies,Art,Prang Colored Pencils
West,5.88,CA-2017-112431,Second Class,RW-19690,Robert Waldorf,Consumer,United States,Los Angeles,California,OFF-AR-10000940,Office Supplies,Art,Newell 343
West,5.88,CA-2017-163405,Standard Class,BN-11515,Bradley Nguyen,Consumer,United States,Los Angeles,California,OFF-AR-10001246,Office Supplies,Art,Newell 317
West,5.904,CA-2015-112144,Standard Class,CY-12745,Craig Yedwab,Corporate,United States,Gilbert,Arizona,OFF-LA-10000443,Office Supplies,Labels,Avery 501
West,5.9399999999999995,CA-2016-148852,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Santa Ana,California,OFF-FA-10003467,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack"
West,5.9399999999999995,CA-2017-106824,Standard Class,AT-10735,Annie Thurman,Consumer,United States,Los Angeles,California,OFF-FA-10001135,Office Supplies,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box"
West,5.96,CA-2017-161823,Standard Class,AG-10300,Aleksandra Gannaway,Corporate,United States,San Francisco,California,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
West,5.98,CA-2014-141901,Standard Class,GM-14500,Gene McClure,Consumer,United States,Fresno,California,OFF-PA-10001667,Office Supplies,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright)
West,5.98,CA-2016-131380,Second Class,CC-12220,Chris Cortes,Consumer,United States,Los Angeles,California,OFF-PA-10001243,Office Supplies,Paper,Xerox 1983
